mavpackettype,TimeUS,Tar,Act,Err,P,I,D,FF,DFF,Dmod,SRate,Flags,ap_time_s
PIDP,2239998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.239998
PIDP,2279998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.279998
PIDP,2319998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.319998
PIDP,2359998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.359998
PIDP,2399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.399998
PIDP,2439998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.439998
PIDP,2479998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.479998
PIDP,2519998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.519998
PIDP,2559998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.559998
PIDP,2599998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.599998
PIDP,2639998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.639998
PIDP,2679998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.679998
PIDP,2719998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.719998
PIDP,2759998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.759998
PIDP,2799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.799998
PIDP,2839998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.839998
PIDP,2879998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.879998
PIDP,2919998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.919998
PIDP,2959998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.959998
PIDP,2999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.999998
PIDP,3039998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.039998
PIDP,3079998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.079998
PIDP,3119998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.119998
PIDP,3159998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.159998
PIDP,3199998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.199998
PIDP,3239998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.239998
PIDP,3279998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.279998
PIDP,3319998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.319998
PIDP,3359998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.359998
PIDP,3399998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.399998
PIDP,3439998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.439998
PIDP,3479998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.479998
PIDP,3519998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.519998
PIDP,3559998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.559998
PIDP,3599998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.599998
PIDP,3639998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.639998
PIDP,3679998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.679998
PIDP,3719998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.719998
PIDP,3759998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.759998
PIDP,3799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.799998
PIDP,3839998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.839998
PIDP,3879998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.879998
PIDP,3919998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.919998
PIDP,3959998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.959998
PIDP,4019996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.019996
PIDP,4079993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.079993
PIDP,4139990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.13999
PIDP,4199988,27.663877487182617,-1.646045207977295,0.5119454264640808,10.036417007446289,0.7051767706871033,-0.08991602063179016,22.06113624572754,-0.0,1.0,6.004710674285889,0,4.199988
PIDP,4239988,26.341625213623047,-1.1990948915481567,0.495061993598938,9.705426216125488,1.393535852432251,-0.5777887105941772,21.645137786865234,-0.0,1.0,17.303173065185547,0,4.239988
PIDP,4279988,23.640405654907227,0.16732411086559296,0.44572195410728455,8.738140106201172,2.0262529850006104,-1.630876898765564,20.522361755371094,-0.0,1.0,28.580904006958008,0,4.279988
PIDP,4319988,19.824626922607422,2.772200345993042,0.3577633798122406,7.013760089874268,2.5516481399536133,-2.926131010055542,18.560794830322266,-0.0,1.0,39.92947769165039,0,4.319988
PIDP,4359988,15.326934814453125,6.58550500869751,0.23350131511688232,4.5776686668396,2.9180402755737305,-4.157284259796143,15.906710624694824,-0.0,1.0,51.091896057128906,0,4.359988
PIDP,4399988,10.656889915466309,11.275772094726562,0.08347813785076141,1.6365443468093872,3.0858943462371826,-5.055235862731934,12.734659194946289,-0.0,1.0,61.74885940551758,0,4.399988
PIDP,4439988,6.244487285614014,16.310392379760742,-0.07641780376434326,-1.498130202293396,3.0358738899230957,-5.429712295532227,9.382057189941406,-0.0,1.0,71.62113952636719,0,4.439988
PIDP,4479988,2.5654032230377197,21.068387985229492,-0.22705282270908356,-4.451249599456787,2.7744851112365723,-5.180449962615967,6.1875691413879395,-0.0,1.0,80.71943664550781,0,4.479988
PIDP,4519988,-0.10798004269599915,24.951223373413086,-0.3540198802947998,-6.940370559692383,2.3288676738739014,-4.399451732635498,3.4188218116760254,-0.0,1.0,88.98432922363281,0,4.519988
PIDP,4559988,-1.800490379333496,27.482624053955078,-0.4439319968223572,-8.703049659729004,1.7457685470581055,-3.16180419921875,1.2468383312225342,-0.0,1.0,96.13995361328125,0,4.559988
PIDP,4599988,-2.3899729251861572,28.381370544433594,-0.4906836450099945,-9.619590759277344,1.083614468574524,-1.7184191942214966,-0.19405145943164825,-0.0,1.0,102.29153442382812,0,4.599988
PIDP,4639988,-2.2261593341827393,27.584375381469727,-0.4936820864677429,-9.678373336791992,0.402371346950531,-0.22625704109668732,-0.9598004221916199,-0.0,1.0,107.53533172607422,0,4.639988
PIDP,4679988,-1.3038034439086914,25.228416442871094,-0.4563969373703003,-8.947418212890625,-0.24120168387889862,1.1662471294403076,-1.0677722692489624,0.0,1.0,111.9593734741211,0,4.679988
PIDP,4719988,0.04352928698062897,21.60294532775879,-0.38498231768608093,-7.547372341156006,-0.797207772731781,2.333479166030884,-0.6466801762580872,0.0,1.0,115.61406707763672,0,4.719988
PIDP,4759988,1.6438982486724854,17.0964298248291,-0.2922571301460266,-5.729544639587402,-1.2318751811981201,3.091529607772827,0.1378357857465744,0.0,1.0,118.48992156982422,0,4.759988
PIDP,4799988,3.143151044845581,12.146312713623047,-0.185150146484375,-3.629769802093506,-1.523759365081787,3.609675407409668,1.1276111602783203,0.0,1.0,120.66748046875,0,4.799988
PIDP,4839988,4.593244552612305,7.1855549812316895,-0.07581104338169098,-1.4862350225448608,-1.6651586294174194,3.7217729091644287,2.211184024810791,0.0,1.0,122.22022247314453,0,4.839988
PIDP,4879988,5.698001861572266,2.6008570194244385,0.02519967034459114,0.4940260648727417,-1.6646572351455688,3.491656541824341,3.2154438495635986,0.0,1.0,123.21511840820312,0,4.879988
PIDP,4919988,6.279209613800049,-1.2923967838287354,0.11071232706308365,2.1704559326171875,-1.5401313304901123,2.9650075435638428,4.016632080078125,0.0,1.0,123.7131576538086,0,4.919988
PIDP,4959988,6.4880146980285645,-4.26809024810791,0.17593824863433838,3.4491753578186035,-1.3190540075302124,2.2973732948303223,4.545001029968262,0.0,1.0,123.205322265625,0,4.959988
