mavpackettype,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,ap_time_s
RCIN,2239998,1500,1500,1454,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.239998
RCIN,2279998,1500,1500,1453,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.279998
RCIN,2319998,1500,1500,1451,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.319998
RCIN,2359998,1500,1500,1448,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.359998
RCIN,2399998,1500,1500,1446,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.399998
RCIN,2439998,1500,1500,1444,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.439998
RCIN,2479998,1500,1500,1442,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.479998
RCIN,2519998,1500,1500,1440,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.519998
RCIN,2559998,1500,1500,1438,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.559998
RCIN,2599998,1500,1500,1436,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.599998
RCIN,2639998,1500,1500,1434,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.639998
RCIN,2679998,1500,1500,1432,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.679998
RCIN,2719998,1500,1500,1430,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.719998
RCIN,2759998,1500,1500,1428,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.759998
RCIN,2799998,1500,1500,1426,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.799998
RCIN,2839998,1500,1500,1424,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.839998
RCIN,2879998,1500,1500,1422,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.879998
RCIN,2919998,1500,1500,1420,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.919998
RCIN,2959998,1500,1500,1418,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.959998
RCIN,2999998,1500,1500,1416,1500,1500,1000,1900,1000,0,0,0,0,0,0,2.999998
RCIN,3039998,1500,1500,1415,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.039998
RCIN,3079998,1500,1500,1413,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.079998
RCIN,3119998,1500,1500,1411,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.119998
RCIN,3159998,1500,1500,1409,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.159998
RCIN,3199998,1500,1500,1407,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.199998
RCIN,3239998,1500,1500,1406,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.239998
RCIN,3279998,1500,1500,1404,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.279998
RCIN,3319998,1500,1500,1402,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.319998
RCIN,3359998,1500,1500,1401,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.359998
RCIN,3399998,1500,1500,1399,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.399998
RCIN,3439998,1500,1500,1398,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.439998
RCIN,3479998,1500,1500,1396,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.479998
RCIN,3519998,1500,1500,1395,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.519998
RCIN,3559998,1500,1500,1393,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.559998
RCIN,3599998,1500,1500,1392,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.599998
RCIN,3639998,1500,1500,1390,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.639998
RCIN,3679998,1500,1500,1389,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.679998
RCIN,3719998,1500,1500,1388,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.719998
RCIN,3759998,1500,1500,1386,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.759998
RCIN,3799998,1500,1500,1385,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.799998
RCIN,3839998,1500,1500,1384,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.839998
RCIN,3879998,1500,1500,1383,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.879998
RCIN,3919998,1500,1500,1381,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.919998
RCIN,3959998,1500,1500,1380,1500,1500,1000,1900,1000,0,0,0,0,0,0,3.959998
RCIN,4019996,1500,1500,1379,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.019996
RCIN,4079993,1500,1500,1377,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.079993
RCIN,4139990,1500,1500,1376,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.13999
RCIN,4199988,1500,1500,1374,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.199988
RCIN,4239988,1500,1500,1374,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.239988
RCIN,4279988,1500,1500,1373,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.279988
RCIN,4319988,1500,1500,1373,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.319988
RCIN,4359988,1500,1500,1374,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.359988
RCIN,4399988,1500,1500,1375,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.399988
RCIN,4439988,1500,1500,1378,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.439988
RCIN,4479988,1500,1500,1382,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.479988
RCIN,4519988,1500,1500,1387,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.519988
RCIN,4559988,1500,1500,1393,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.559988
RCIN,4599988,1500,1500,1399,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.599988
RCIN,4639988,1500,1500,1406,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.639988
RCIN,4679988,1500,1500,1414,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.679988
RCIN,4719988,1500,1500,1421,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.719988
RCIN,4759988,1500,1500,1429,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.759988
RCIN,4799988,1500,1500,1436,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.799988
RCIN,4839988,1500,1500,1443,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.839988
RCIN,4879988,1500,1500,1449,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.879988
RCIN,4919988,1500,1500,1456,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.919988
RCIN,4959988,1500,1500,1462,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.959988
RCIN,4999988,1500,1500,1467,1500,1500,1000,1900,1000,0,0,0,0,0,0,4.999988
RCIN,5039988,1500,1500,1473,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.039988
RCIN,5079988,1500,1500,1478,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.079988
RCIN,5119988,1500,1500,1483,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.119988
RCIN,5159988,1500,1500,1488,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.159988
RCIN,5199988,1500,1500,1493,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.199988
RCIN,5239988,1500,1500,1499,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.239988
RCIN,5279988,1500,1500,1504,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.279988
RCIN,5319988,1500,1500,1509,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.319988
RCIN,5359988,1500,1500,1515,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.359988
RCIN,5399988,1500,1500,1520,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.399988
RCIN,5439988,1500,1500,1525,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.439988
RCIN,5479988,1500,1500,1530,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.479988
RCIN,5519988,1500,1500,1534,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.519988
RCIN,5559988,1500,1500,1539,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.559988
RCIN,5599988,1500,1500,1543,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.599988
RCIN,5639988,1500,1500,1546,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.639988
RCIN,5679988,1500,1500,1550,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.679988
RCIN,5719988,1500,1500,1553,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.719988
RCIN,5759988,1500,1500,1556,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.759988
RCIN,5799988,1500,1500,1558,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.799988
RCIN,5839988,1500,1500,1561,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.839988
RCIN,5879988,1500,1500,1563,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.879988
RCIN,5919988,1500,1500,1565,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.919988
RCIN,5959988,1500,1500,1567,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.959988
RCIN,5999988,1500,1500,1569,1500,1500,1000,1900,1000,0,0,0,0,0,0,5.999988
RCIN,6039988,1500,1500,1570,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.039988
RCIN,6079988,1500,1500,1572,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.079988
RCIN,6119988,1500,1500,1574,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.119988
RCIN,6159988,1500,1500,1575,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.159988
RCIN,6199988,1500,1500,1576,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.199988
RCIN,6239988,1500,1500,1578,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.239988
RCIN,6279988,1500,1500,1579,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.279988
RCIN,6319988,1500,1500,1580,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.319988
RCIN,6359988,1500,1500,1580,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.359988
RCIN,6399988,1500,1500,1581,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.399988
RCIN,6439988,1500,1500,1581,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.439988
RCIN,6479988,1500,1500,1581,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.479988
RCIN,6519988,1500,1500,1582,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.519988
RCIN,6559988,1500,1500,1581,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.559988
RCIN,6599988,1500,1500,1581,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.599988
RCIN,6639988,1500,1500,1581,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.639988
RCIN,6679988,1500,1500,1580,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.679988
RCIN,6719988,1500,1500,1580,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.719988
RCIN,6759988,1500,1500,1579,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.759988
RCIN,6799988,1500,1500,1578,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.799988
RCIN,6839988,1500,1500,1578,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.839988
RCIN,6879988,1500,1500,1577,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.879988
RCIN,6919988,1500,1500,1576,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.919988
RCIN,6959988,1500,1500,1575,1500,1500,1000,1900,1000,0,0,0,0,0,0,6.959988
